caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
21635,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21636,1,420,5-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21642,1,491,16-Oct-06,2,71,2,2, ,2, ,2,1,MA,MD,2, , , , , , , , , ,7, ,4,4,2,1, , ,3, ,1,-4,4,5,2,2,3,4,-4,3,10
21646,1,491,11-Oct-06,2,45,5,5, ,2, ,3,2,TX,TX,3, , , ,1, , , , , , , ,3,4,2,2, , ,3, ,2,3,3,5,3,5,4,4,3,4,10
21648,1,491,27-Sep-06,2,34,1,1, ,2, ,4,1,LA,LA,2, , , ,1, , , , , , , ,1,1,2,3, , , ,4,2,1,4,4,4,5,5,5,3,5,10
21650,1,500,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21651,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21653,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21654,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21656,1,492,18-Sep-06,1,76,1,1,1, , ,5,1,TX,TX,1,1,9,2005, ,2, , , , , , ,1,1,2,2, , ,3, ,1,2,5,5,5,5,5,5,5,5,7
21658,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21659,1,492,9-Oct-06,1,52,2,2, ,2, ,4,1,MS, ,1,2,12,2005,1, , , , , , , ,2,2,2,3, , ,3, ,2,4,6,-6,5,5,5,5,3,5,7
21662,1,491,12-Oct-06,1,45,1,1, ,2, ,3,1,LA,GA,2, , , ,1, , , , , , , ,1,1,2,1, , ,3, ,1,3,7,6,5,5,5,5,5,5,5
